date,location,aqi,pm25
2016-04-19T12:00:00.000Z,选择监测点,39,10
2016-04-19T12:00:00.000Z,区环保大楼,35,7
2016-04-19T12:00:00.000Z,万里学院,35,10
2016-04-19T12:00:00.000Z,龙赛医院,48,10
2016-04-19T12:00:00.000Z,三江中学,36,9
2016-04-19T12:00:00.000Z,钱湖水厂,44,8
2016-04-19T12:00:00.000Z,太古小学,39,14
2016-04-19T12:00:00.000Z,市环境监测中心,44,13
2016-04-19T12:00:00.000Z,万里国际学校,37,9
2016-04-19T13:00:00.000Z,选择监测点,40,12
2016-04-19T13:00:00.000Z,区环保大楼,37,7
2016-04-19T13:00:00.000Z,万里学院,35,12
2016-04-19T13:00:00.000Z,龙赛医院,47,12
2016-04-19T13:00:00.000Z,三江中学,37,11
2016-04-19T13:00:00.000Z,钱湖水厂,44,10
2016-04-19T13:00:00.000Z,太古小学,39,15
2016-04-19T13:00:00.000Z,市环境监测中心,48,17
2016-04-19T13:00:00.000Z,万里国际学校,38,12
2016-04-19T14:00:00.000Z,选择监测点,39,12
2016-04-19T14:00:00.000Z,区环保大楼,37,8
2016-04-19T14:00:00.000Z,万里学院,34,14
2016-04-19T14:00:00.000Z,龙赛医院,45,11
2016-04-19T14:00:00.000Z,三江中学,34,12
2016-04-19T14:00:00.000Z,钱湖水厂,43,11
2016-04-19T14:00:00.000Z,太古小学,37,15
2016-04-19T14:00:00.000Z,市环境监测中心,45,16
2016-04-19T14:00:00.000Z,万里国际学校,37,13
2016-04-19T15:00:00.000Z,选择监测点,38,12
2016-04-19T15:00:00.000Z,区环保大楼,35,8
2016-04-19T15:00:00.000Z,万里学院,33,14
2016-04-19T15:00:00.000Z,龙赛医院,44,12
2016-04-19T15:00:00.000Z,三江中学,34,13
2016-04-19T15:00:00.000Z,钱湖水厂,42,10
2016-04-19T15:00:00.000Z,太古小学,33,15
2016-04-19T15:00:00.000Z,市环境监测中心,47,15
2016-04-19T15:00:00.000Z,万里国际学校,36,13
2016-04-19T16:00:00.000Z,选择监测点,37,13
2016-04-19T16:00:00.000Z,区环保大楼,35,7
2016-04-19T16:00:00.000Z,万里学院,35,13
2016-04-19T16:00:00.000Z,龙赛医院,42,12
2016-04-19T16:00:00.000Z,三江中学,35,13
2016-04-19T16:00:00.000Z,钱湖水厂,38,14
2016-04-19T16:00:00.000Z,太古小学,34,17
2016-04-19T16:00:00.000Z,市环境监测中心,48,18
2016-04-19T16:00:00.000Z,万里国际学校,31,16
2016-04-19T17:00:00.000Z,选择监测点,37,15
2016-04-19T17:00:00.000Z,区环保大楼,35,9
2016-04-19T17:00:00.000Z,万里学院,34,15
2016-04-19T17:00:00.000Z,龙赛医院,44,13
2016-04-19T17:00:00.000Z,三江中学,36,14
2016-04-19T17:00:00.000Z,钱湖水厂,36,21
2016-04-19T17:00:00.000Z,太古小学,33,16
2016-04-19T17:00:00.000Z,市环境监测中心,47,17
2016-04-19T17:00:00.000Z,万里国际学校,32,19
2016-04-19T18:00:00.000Z,选择监测点,39,15
2016-04-19T18:00:00.000Z,区环保大楼,36,8
2016-04-19T18:00:00.000Z,万里学院,36,19
2016-04-19T18:00:00.000Z,龙赛医院,46,14
2016-04-19T18:00:00.000Z,三江中学,37,14
2016-04-19T18:00:00.000Z,钱湖水厂,35,13
2016-04-19T18:00:00.000Z,太古小学,35,17
2016-04-19T18:00:00.000Z,市环境监测中心,46,17
2016-04-19T18:00:00.000Z,万里国际学校,43,24
2016-04-19T19:00:00.000Z,选择监测点,41,17
2016-04-19T19:00:00.000Z,区环保大楼,37,8
2016-04-19T19:00:00.000Z,万里学院,35,17
2016-04-19T19:00:00.000Z,龙赛医院,46,14
2016-04-19T19:00:00.000Z,三江中学,42,17
2016-04-19T19:00:00.000Z,钱湖水厂,40,11
2016-04-19T19:00:00.000Z,太古小学,37,18
2016-04-19T19:00:00.000Z,市环境监测中心,45,17
2016-04-19T19:00:00.000Z,万里国际学校,53,34
2016-04-19T20:00:00.000Z,选择监测点,38,14
2016-04-19T20:00:00.000Z,区环保大楼,35,10
2016-04-19T20:00:00.000Z,万里学院,33,16
2016-04-19T20:00:00.000Z,龙赛医院,46,15
2016-04-19T20:00:00.000Z,三江中学,39,16
2016-04-19T20:00:00.000Z,钱湖水厂,41,11
2016-04-19T20:00:00.000Z,太古小学,36,15
2016-04-19T20:00:00.000Z,市环境监测中心,45,18
2016-04-19T20:00:00.000Z,万里国际学校,35,16
2016-04-19T21:00:00.000Z,选择监测点,39,15
2016-04-19T21:00:00.000Z,区环保大楼,33,12
2016-04-19T21:00:00.000Z,万里学院,40,20
2016-04-19T21:00:00.000Z,龙赛医院,51,18
2016-04-19T21:00:00.000Z,三江中学,35,14
2016-04-19T21:00:00.000Z,钱湖水厂,40,12
2016-04-19T21:00:00.000Z,太古小学,36,15
2016-04-19T21:00:00.000Z,市环境监测中心,44,18
2016-04-19T21:00:00.000Z,万里国际学校,36,15
2016-04-19T22:00:00.000Z,选择监测点,41,18
2016-04-19T22:00:00.000Z,区环保大楼,32,15
2016-04-19T22:00:00.000Z,万里学院,54,34
2016-04-19T22:00:00.000Z,龙赛医院,49,18
2016-04-19T22:00:00.000Z,三江中学,41,18
2016-04-19T22:00:00.000Z,钱湖水厂,39,13
2016-04-19T22:00:00.000Z,太古小学,35,15
2016-04-19T22:00:00.000Z,市环境监测中心,45,19
2016-04-19T22:00:00.000Z,万里国际学校,35,18
2016-04-19T23:00:00.000Z,选择监测点,41,18
2016-04-19T23:00:00.000Z,区环保大楼,38,16
2016-04-19T23:00:00.000Z,万里学院,41,23
2016-04-19T23:00:00.000Z,龙赛医院,53,19
2016-04-19T23:00:00.000Z,三江中学,44,19
2016-04-19T23:00:00.000Z,钱湖水厂,37,16
2016-04-19T23:00:00.000Z,太古小学,35,16
2016-04-19T23:00:00.000Z,市环境监测中心,48,21
2016-04-19T23:00:00.000Z,万里国际学校,35,21
2016-04-20T00:00:00.000Z,选择监测点,42,18
2016-04-20T00:00:00.000Z,区环保大楼,46,17
2016-04-20T00:00:00.000Z,万里学院,31,17
